═══════════════════════════════════════════════════════════════
  分析统计信息
═══════════════════════════════════════════════════════════════
分析类数量: 9021
分析方法数量: 88711
调用图节点数: 24959
调用图边数: 215832
═══════════════════════════════════════════════════════════════

╔══════════════════════════════════════════════════════════════╗
║  Sink #1: lookup                                             ║
║  找到链条...                                                     ║
╚══════════════════════════════════════════════════════════════╝

--- 链 1 ---
<java.text.DateFormat$Field: java.lang.Object readResolve()>->[-1, -1]
<org.apache.click.util.SessionMap: java.lang.Object get(java.lang.Object)>->[-1, -1]
<org.apache.click.control.FieldSet: java.lang.String toString()>->[-1, -1]
<org.apache.click.control.FieldSet: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.FieldSet: void renderFields(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRows(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRowColumns(org.apache.click.util.HtmlStringBuffer,int)>->[-1, -1]
<org.apache.click.control.Column: void renderTableData(java.lang.Object,org.apache.click.util.HtmlStringBuffer,org.apache.click.Context,int)>->[-1, -1]
<org.apache.click.control.Column: java.lang.Object getProperty(java.lang.String,java.lang.Object)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getObjectPropertyValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 2 ---
<sun.reflect.'annotation'.AnnotationInvocationHandler: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<org.apache.click.util.SessionMap: java.lang.Object get(java.lang.Object)>->[-1, -1]
<org.apache.click.control.FieldSet: java.lang.String toString()>->[-1, -1]
<org.apache.click.control.FieldSet: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.FieldSet: void renderFields(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRows(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRowColumns(org.apache.click.util.HtmlStringBuffer,int)>->[-1, -1]
<org.apache.click.control.Column: void renderTableData(java.lang.Object,org.apache.click.util.HtmlStringBuffer,org.apache.click.Context,int)>->[-1, -1]
<org.apache.click.control.Column: java.lang.Object getProperty(java.lang.String,java.lang.Object)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getObjectPropertyValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 3 ---
<java.text.NumberFormat$Field: java.lang.Object readResolve()>->[-1, -1]
<org.apache.click.util.SessionMap: java.lang.Object get(java.lang.Object)>->[-1, -1]
<org.apache.click.control.FieldSet: java.lang.String toString()>->[-1, -1]
<org.apache.click.control.FieldSet: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.FieldSet: void renderFields(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRows(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRowColumns(org.apache.click.util.HtmlStringBuffer,int)>->[-1, -1]
<org.apache.click.control.Column: void renderTableData(java.lang.Object,org.apache.click.util.HtmlStringBuffer,org.apache.click.Context,int)>->[-1, -1]
<org.apache.click.control.Column: java.lang.Object getProperty(java.lang.String,java.lang.Object)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getObjectPropertyValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 4 ---
<java.text.AttributedCharacterIterator$Attribute: java.lang.Object readResolve()>->[-1, -1]
<org.apache.click.util.SessionMap: java.lang.Object get(java.lang.Object)>->[-1, -1]
<org.apache.click.control.FieldSet: java.lang.String toString()>->[-1, -1]
<org.apache.click.control.FieldSet: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.FieldSet: void renderFields(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRows(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRowColumns(org.apache.click.util.HtmlStringBuffer,int)>->[-1, -1]
<org.apache.click.control.Column: void renderTableData(java.lang.Object,org.apache.click.util.HtmlStringBuffer,org.apache.click.Context,int)>->[-1, -1]
<org.apache.click.control.Column: java.lang.Object getProperty(java.lang.String,java.lang.Object)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<org.apache.click.util.PropertyUtils: java.lang.Object getObjectPropertyValue(java.lang.Object,java.lang.String,java.util.Map)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 5 ---
<javax.management.BadAttributeValueExpException: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<org.apache.click.util.ErrorReport: java.lang.String toString()>->[-1, -1]
<org.apache.click.control.FieldSet: java.lang.String toString()>->[-1, -1]
<org.apache.click.control.FieldSet: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.FieldSet: void renderFields(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void render(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRows(org.apache.click.util.HtmlStringBuffer)>->[-1, -1]
<org.apache.click.control.Table: void renderBodyRowColumns(org.apache.click.util.HtmlStringBuffer,int)>->[-1, -1]
