═══════════════════════════════════════════════════════════════
  分析统计信息
═══════════════════════════════════════════════════════════════
分析类数量: 10163
分析方法数量: 95812
调用图节点数: 27764
调用图边数: 264174
═══════════════════════════════════════════════════════════════

╔══════════════════════════════════════════════════════════════╗
║  Sink #1: lookup                                             ║
║  找到链条...                                                     ║
╚══════════════════════════════════════════════════════════════╝

--- 链 1 ---
<javax.management.BadAttributeValueExpException: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.util.PropertysetItem: java.lang.String toString()>->[-1, -1]
<com.vaadin.ui.AbstractSelect: java.lang.Object getValue()>->[-1, -1]
<com.vaadin.data.util.sqlcontainer.SQLContainer: boolean containsId(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.sqlcontainer.SQLContainer: boolean itemPassesFilters(com.vaadin.data.util.sqlcontainer.RowItem)>->[-1, -1]
<com.vaadin.data.util.filter.Or: boolean passesFilter(java.lang.Object,com.vaadin.data.Item)>->[-1, -1]
<com.vaadin.data.util.filter.Compare: boolean passesFilter(java.lang.Object,com.vaadin.data.Item)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 2 ---
<java.io.FilePermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.util.ListSet: boolean addAll(java.util.Collection)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 3 ---
<java.net.SocketPermissionCollection: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.util.ListSet: boolean addAll(java.util.Collection)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 4 ---
<javax.swing.JOptionPane: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.util.filter.AbstractJunctionFilter: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 5 ---
<javax.swing.tree.DefaultTreeSelectionModel: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.util.IndexedContainer$IndexedContainerItem: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.Not: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.AbstractJunctionFilter: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 6 ---
<javax.swing.JTree: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.sort.SortOrder: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.Like: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.IsNull: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.IndexedContainer$IndexedContainerItem: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.Not: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.AbstractJunctionFilter: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 7 ---
<javax.swing.tree.DefaultTreeModel: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.sort.SortOrder: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.Like: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.IsNull: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.IndexedContainer$IndexedContainerItem: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.Not: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.AbstractJunctionFilter: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 8 ---
<javax.swing.tree.DefaultTreeCellEditor: void readObject(java.io.ObjectInputStream)>->[-1, -1]
<com.vaadin.data.sort.SortOrder: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.Like: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.IsNull: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.IndexedContainer$IndexedContainerItem: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.Not: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.data.util.filter.AbstractJunctionFilter: boolean equals(java.lang.Object)>->[-1, -1]
<com.vaadin.server.AbstractClientConnector$RpcInvocationHandler: java.lang.Object invoke(java.lang.Object,java.lang.reflect.Method,java.lang.Object[])>->[-1, -1]
<com.vaadin.util.ReflectTools: java.lang.Object getJavaFieldValue(java.lang.Object,java.lang.reflect.Field)>->[-1, -1]
<com.vaadin.server.JsonCodec: java.lang.Object decodeObject(java.lang.reflect.Type,elemental.json.JsonObject,com.vaadin.ui.ConnectorTracker)>->[-1, -1]
<com.vaadin.server.JsonCodec$MethodProperty: void setValue(java.lang.Object,java.lang.Object)>->[-1, -1]
<com.vaadin.ui.declarative.DesignAttributeHandler: void writeAttribute(java.lang.Object,java.lang.String,org.jsoup.nodes.Attributes,java.lang.Object)>->[-1, -1]
<javax.naming.InitialContext: java.lang.Object lookup(javax.naming.Name)>

--- 链 9 ---
<javax.swing.JMenuBar: void readObject(java.io.ObjectInputStream)>->[-1, -1]
